,pesq,stoi_est,pesq_est,sisdr_est,mos,ovr,sig,bak,mcd,visqol,wacc,lengths
0,4.643888473510742,0.995475,3.2148225,23.591114,4.9945107,2.8442095862663024,3.814690938632521,3.223627598690802,0.0,4.41112,-0.17375886524822692,92349
1,4.643888473510742,0.9989355,4.379039,24.96273,4.9945045,3.333695991229641,4.05593695152109,3.6333555592049103,0.0,4.45484,-0.17375886524822692,135287
2,4.643888473510742,0.999561,3.7316446,18.590616,4.9945025,2.9959777064587114,3.858409067232757,3.361261017852746,0.0,4.48175,-0.17375886524822692,137367
3,4.643888473510742,0.9976295,3.6244025,22.546171,4.994484,3.2122122160815487,3.9581708567746077,3.5389744710684683,0.0,4.44891,-0.17375886524822692,96384
4,4.643888473510742,0.9990012,3.8444777,23.874054,4.9944973,3.17187570693498,4.036331297229286,3.4653773810832837,0.0,4.5139,-0.17375886524822692,110796
5,4.643888473510742,0.99907374,4.100051,20.37564,4.994371,2.874696302837048,3.947196030973757,3.1963529462851543,0.0,4.55192,-0.17375886524822692,90540
6,4.643888473510742,0.9998362,4.086838,21.37504,4.9944997,3.163425464128342,3.907575768581262,3.538288636154012,0.0,4.4902,-0.17375886524822692,121017
7,4.643888473510742,0.98233515,2.717385,15.848069,4.994404,2.9174723737019237,3.7939141593192156,3.284742929401627,0.0,4.41572,-0.17375886524822692,129258
8,4.643888473510742,0.9993901,3.979513,22.180017,4.5207486,3.0025450694878426,3.8576844461826383,3.346299276773278,0.0,4.70355,-0.17375886524822692,118927
9,4.643888473510742,0.99985254,3.9286401,19.555515,4.9944754,3.0241036188972736,3.91231975401374,3.3672406997860826,0.0,4.38449,-0.17375886524822692,106615
10,4.643888473510742,0.99884015,3.72286,19.393631,4.9945545,3.190637148038071,3.974306909930427,3.5189531380053287,0.0,4.40125,-0.17375886524822692,213909
11,4.643888473510742,0.9995759,4.391078,19.855574,4.994461,3.357874829383204,4.090578361204249,3.6280619823386737,0.0,4.28627,-0.17375886524822692,110756
12,4.643888473510742,0.9983088,3.6812134,21.307625,4.9945006,3.364387528677123,4.052635771061043,3.6626709008356384,0.0,4.71277,-0.17375886524822692,173767
13,4.643888473510742,0.9993017,3.9043021,22.293377,4.994464,3.1257490402927433,3.8741904569017773,3.5053249348934816,0.0,4.48988,-0.17375886524822692,109200
14,4.643888473510742,0.99229664,3.7391179,20.70937,4.993938,3.2029002528173955,3.9904581508078847,3.5119832529406394,0.0,4.53762,-0.17375886524822692,130893
15,4.643888473510742,0.998434,3.8154655,22.28377,4.9945164,2.9968354652642026,3.8647464420394755,3.3560433408803014,0.0,4.70926,-0.17375886524822692,147645
16,4.643888473510742,0.9995364,3.777003,22.227615,4.9899855,3.4169741592203144,4.111919621992028,3.695776502038543,0.0,4.80134,-0.17375886524822692,245969
17,4.643888473510742,0.9956756,3.9396367,22.36723,4.994346,3.3373530831949703,4.060537966238355,3.6259446205131383,0.0,4.66332,-0.17375886524822692,133138
18,4.643888473510742,0.99754566,3.5494394,17.18415,4.994489,3.153899452428437,3.8626614961005608,3.5328024242972003,0.0,4.71165,-0.17375886524822692,158985
19,4.643888473510742,0.99991345,4.0808754,26.031818,4.9945354,3.3388780675420313,4.068305298840034,3.602175263831608,0.0,4.61094,-0.17375886524822692,176162
20,4.643888473510742,0.9996784,4.1751175,25.664297,4.9945054,3.2881472415762807,4.034124778558752,3.5808030661464643,0.0,4.49158,-0.17375886524822692,112825
21,4.643888473510742,0.99969614,4.318651,26.644018,4.9944954,3.240614224516202,4.0163960023844405,3.52616060988073,0.0,4.40581,-0.17375886524822692,140089
22,4.643888473510742,0.99958783,4.2681804,27.633512,4.9944863,3.0468227902497955,3.9532377606524918,3.3525390202681913,0.0,4.30422,-0.17375886524822692,123196
23,4.643888473510742,0.99935085,4.032713,27.602715,4.9945197,3.3221199645884067,4.107369552820279,3.5699546288285062,0.0,4.38671,-0.17375886524822692,189479
24,4.643888473510742,0.99971646,4.397007,19.733395,4.994206,3.0362515006387416,3.9327725396226016,3.353453277895401,0.0,4.52358,-0.17375886524822692,88125
25,4.643888473510742,0.99947435,4.131363,25.312227,4.994482,3.2596361972575125,4.099673185884451,3.5256715771815017,0.0,4.50402,-0.17375886524822692,108679
26,4.643888473510742,0.9996215,4.177514,26.633154,4.994528,3.404390665341642,4.154731122968615,3.6245433025218645,0.0,4.44373,-0.17375886524822692,183668
27,4.643888473510742,0.9996086,4.3140182,29.314667,4.9945197,3.357996340316602,4.1317217776261606,3.6059087897496593,0.0,4.40787,-0.17375886524822692,105625
28,4.643888473510742,0.99986744,4.1631575,24.227592,4.994396,2.9947468092847838,3.934386592289957,3.31803944635138,0.0,4.60759,-0.17375886524822692,96780
29,4.643888473510742,0.99641293,4.073673,25.223253,4.431529,2.9324075416116964,3.8969180169736384,3.2660220591346283,0.0,4.68596,-0.17375886524822692,86272
30,4.643888473510742,0.99951196,4.1206274,28.304846,4.4710755,3.233435327658383,4.011103230825377,3.5404083982154946,0.0,4.4881,-0.17375886524822692,125925
31,4.643888473510742,0.99825174,3.9607127,24.65754,4.9945188,3.0608456069125,3.980029529975023,3.3699759806098104,0.0,4.68405,-0.17375886524822692,135708
32,4.643888473510742,0.99904937,4.288173,25.97057,4.9943776,3.2691131756639065,4.067602364113775,3.5347010213320234,0.0,4.43972,-0.17375886524822692,88226
33,4.643888473510742,0.99942845,4.0375433,24.168127,4.9945316,3.17560932575078,3.5723001903450533,3.701914541258864,0.0,4.35106,-0.17375886524822692,330772
