,L1_fix_16,lengths,L1_fix_24,L1_fix_32,L1_fix_64,L1_var_16,L1_var_24,L1_var_32,L1_var_64,L1_quant_16,L1_quant_24,L1_quant_32,L1_quant_64,L2_fix_16,L2_fix_24,L2_fix_32,L2_fix_64,L2_var_16,L2_var_24,L2_var_32,L2_var_64,L2_quant_16,L2_quant_24,L2_quant_32,L2_quant_64
0,2.5493218644587463,91255,2.218173026105855,1.9967166256656115,1.5647576017103169,2.7523866726959074,2.366057233390896,2.166376886081963,1.8980425501691192,3.2540981563208464,2.778387056997645,2.501409784551692,1.985318904383701,3.358815440551894,2.925687017977664,2.622133398434814,2.0694591735361016,3.618445749046389,3.106257696322269,2.8579263541405373,2.502182480706096,4.153899851238419,3.5624166060526816,3.1829932842362316,2.5269530226528674
1,2.5880521914020735,114981,2.20031947375434,1.9172693531401033,1.4970613939343111,2.799247523429415,2.387220047932664,2.1493713580526688,1.8381736120644043,3.308375336978537,2.8239329005404077,2.5163169959888245,1.9608633946714054,3.3827118133484393,2.881601919627298,2.5268898608901624,1.9920621991315182,3.6832867345165052,3.143443148676154,2.835541463034299,2.407655466764591,4.228537640279588,3.6091490623833136,3.2162386333518627,2.499578352292928
2,2.442704032433515,89430,2.115723352699793,1.8649600237942323,1.4663316432201885,2.5863571781963652,2.243325127225689,2.0648947007419265,1.7727995050767018,3.1824980856622367,2.6999525729827254,2.398409257739743,1.8799815217815055,3.231959440773348,2.82238517849445,2.4874321382369935,1.9559542502090261,3.423518712670538,2.965182793004266,2.7308790570560935,2.3462039899865257,4.0319629620200566,3.421526787408179,3.043075742561894,2.389700959136621
3,2.3938481501214497,111331,2.0880230368583654,1.8288453445199766,1.428140909286528,2.626982099161162,2.191295366337693,2.017101178569786,1.7421986664848217,3.148949352997875,2.68737665185265,2.400930292194599,1.8620276613027438,3.144134304030345,2.7641308776638045,2.42833162510191,1.9080547249966078,3.4797231036697838,2.8811802372033366,2.6624709851512396,2.301875304674252,3.998053637816973,3.3867875590607,3.034218858500606,2.3608704619182657
4,2.361833161080152,110419,1.985902762399198,1.7801908550414542,1.3992667942115504,2.5284168741614628,2.1382890572947586,1.9472095818204123,1.6840529572912861,2.987311671883802,2.5396107434428394,2.2573397904750876,1.7947807045069621,3.0853537414637184,2.6139454077949593,2.3641124205908826,1.8762873352423077,3.326483607258338,2.8317307896376533,2.573788246277737,2.2226305898508616,3.801920056457645,3.2225998512072507,2.87810964364101,2.2844649201004055
5,2.685927037626632,141445,2.258105497418045,2.071220195961031,1.5973625319696674,2.758630885974481,2.416754643489371,2.2244180159634785,1.9360104059155294,3.553684492358704,3.0041088178681057,2.679133006380904,2.0810059979955455,3.492560990799275,2.931691268329895,2.6950246611933126,2.10981630415861,3.568525435716933,3.1527610618332536,2.893900084317281,2.5342981661641657,4.5701718489608885,3.853349780599943,3.42183819560709,2.662432673918123
6,2.5979416667397173,107681,2.2939130396781633,2.029947737498665,1.6219868181954207,2.7801951918849195,2.408743195153471,2.1846970330124775,1.904419429035342,3.3321073338762393,2.839670792700985,2.521302892347278,1.9942291135397323,3.3690176183868643,3.0019711546040955,2.6564851138365166,2.139741648407134,3.6463702373734828,3.139693566164748,2.8417654852575818,2.4837804046858434,4.279827062473581,3.6391560768618927,3.221896011728582,2.542950809935396
7,2.5731504160182888,107225,2.2652192203725465,1.9929005162156181,1.5336011208084102,2.752465107179922,2.415734995197177,2.178279642605831,1.8982913143246913,3.081754556428262,2.6396597521467418,2.374273957455588,1.8714919596107025,3.381202402535598,2.965049480267409,2.613816495672717,2.0403167503994695,3.627606275516092,3.189099525303651,2.8624897914959795,2.5057757119688393,3.932225879234432,3.353101630764233,3.014043075930946,2.374296995967394
8,2.558139919567552,99924,2.1498048185922167,1.8716376976123539,1.4208177688483032,2.8723430264779726,2.353631450877087,2.0704697617393832,1.7596634115921437,3.316253990296947,2.79015119416115,2.456651392165277,1.9047576292114659,3.348476843663868,2.8096068290920986,2.465541669125701,1.8947325113998164,3.733974307947018,3.0879299130310995,2.7210092550543745,2.308408405359297,4.213201757207046,3.5425100375535683,3.1267630072686647,2.4112455917111353
9,2.6773901041338,115893,2.2748151488294215,2.058063911421182,1.6264838580421175,2.8120310500254306,2.4720341288404803,2.218503589921324,1.9490159046899043,3.460336325414571,2.95547814348044,2.6274837692272377,2.0527856330505343,3.5246813357316427,2.977309851443642,2.690614209910652,2.1412843226892693,3.6999192457422825,3.233336315428382,2.8977666714055017,2.5383288702915463,4.453467549379086,3.7948904629001894,3.382641921233971,2.630004285962727
10,2.649158867082093,126006,2.324645637848801,2.0872724732068764,1.6538343250216765,2.8218156871913713,2.4803417126539813,2.2668559901495313,2.0069523258295585,3.2300229114831973,2.791625141197391,2.521637339057995,1.9908707974395095,3.4589830069907097,3.0260155951394414,2.7224542098060946,2.1669971138829522,3.7155253783241027,3.252438089172372,2.9451607730864375,2.605860961028392,4.121843703507491,3.5636725932356534,3.202551168742051,2.5245088695239275
11,2.6803866638267264,125099,2.2762800357767494,2.0043914269834873,1.5753427624466074,2.7722412103986938,2.4227741665629123,2.2112319625600594,1.913721551751765,3.2111567000509353,2.761036727870305,2.459717843972672,1.9371040880771235,3.5309183009390863,2.992857481737055,2.6371325050594887,2.0661390392391534,3.656692526101466,3.1794935013191306,2.9040072606485103,2.5061945469362854,4.098246054785378,3.514706436698537,3.1388147375402244,2.463928455579889
12,2.65774446619537,121473,2.2651369029932833,2.0218579841085917,1.5558228008843795,2.8177834299058913,2.4385589123261524,2.199360398628019,1.898041644160228,3.343919618940823,2.8640067092396344,2.552847015624803,1.9906040425359537,3.4863636311233637,2.9715227843656304,2.650825405722648,2.049905430785214,3.6835254031444316,3.214942522917992,2.8803363546360474,2.469114709333153,4.276285603147482,3.6630646160635494,3.2699225076156186,2.5345523663730853
13,2.817587990845062,80304,2.411090793620571,2.1410171794961887,1.6711512612498813,3.0959905447068112,2.6557672959349543,2.3582166324459193,2.0606306346101255,3.8937932409268043,3.3117565621607246,2.9313977214491267,2.3261320101498364,3.6850469803623844,3.1433103536586637,2.7952597900094487,2.206170479174107,4.016612065085889,3.499203847990004,3.0696805642239453,2.6893998991366788,5.002098903745306,4.260181683394834,3.77733744664089,2.985351327502795
