,pesq,stoi_est,pesq_est,sisdr_est,mos,ovr,sig,bak,mcd,visqol,wacc,lengths
0,1.5423262119293213,0.9970101,2.213551,20.64721,4.994714,2.417422051651787,3.2204617047636024,2.9530401451088757,1.3682952091415876,3.2459,-0.17021276595744683,92349
1,1.482304334640503,0.9993111,3.6705306,23.753403,4.994495,2.7875002488072225,3.689906076109913,3.205694527619009,2.435534604312465,3.08106,-0.17021276595744683,135287
2,1.4297528266906738,0.99942064,3.9284365,21.637573,4.994515,2.887342283438446,3.7841907159236365,3.2895984320719656,2.057315178433678,2.61228,-0.17021276595744683,137367
3,1.748938798904419,0.9977811,2.6877956,19.435427,2.8374746,2.796665189886928,3.846924930884188,3.113971514609731,1.4476995659654954,2.61157,-0.17021276595744683,96384
4,1.321136713027954,0.99856323,3.2961872,21.824589,4.9945188,2.6025269842930254,3.799875517352696,2.980147197660509,1.6577712194589556,3.135,-0.17021276595744683,110796
5,1.7255423069000244,0.99890554,3.3861103,20.489264,2.4757729,2.9470349670339178,3.8349363042142195,3.3173940568784364,1.6560759243641758,3.47032,-0.17021276595744683,90540
6,1.8525490760803223,0.9975993,3.1794612,20.550564,4.994503,3.0191753946364597,3.7866574155538215,3.4088903204607854,1.7695394072017574,3.04933,-0.17021276595744683,121017
7,1.4312974214553833,0.99739575,2.5093284,18.585823,4.994456,3.039853483767062,3.8533400582424475,3.383909249440705,2.149617253147217,2.93701,-0.17021276595744683,129258
8,1.4411569833755493,0.9989479,3.0822854,20.326023,4.50804,2.4627897148931273,2.9688216624811488,3.1683319015276523,2.3564258967240255,3.07199,-0.17021276595744683,118927
9,1.870267629623413,0.9993082,3.308996,18.980446,4.994407,2.939369940983468,3.8088096965789293,3.323343089176563,2.1370947898843555,3.31301,-0.17021276595744683,106615
10,1.5762403011322021,0.99758565,3.539499,21.647375,4.935108,3.0925529842896706,3.9385241282637082,3.400119925311052,2.252296035262129,2.88577,-0.17021276595744683,213909
11,1.9337995052337646,0.9994659,3.60535,19.728092,4.9944744,3.1139198149658887,3.8976784705139655,3.446145582500393,2.5421594946904453,3.08285,-0.17021276595744683,110756
12,1.5915818214416504,0.99646807,2.9109821,20.978947,4.9945283,3.069245761998971,3.785863315978756,3.4548583957453487,3.1481463286767575,2.96159,-0.17021276595744683,173767
13,1.855348825454712,0.99797565,3.1891723,20.796558,2.352723,2.5928300097706005,3.727136785350374,3.010342087430843,2.0753774867043,3.16056,-0.17021276595744683,109200
14,1.840447187423706,0.99968815,2.4763265,23.180351,2.333096,2.783158901895664,3.934860628482948,3.0632518303125664,1.0830664557283916,3.67133,-0.17021276595744683,130893
15,1.8340017795562744,0.9985713,3.1104352,22.454117,3.2711425,2.6813285018320716,3.632264427129139,3.0882090234672113,2.6124803329908772,2.30985,-0.17021276595744683,147645
16,1.805312156677246,0.99961543,3.4547405,23.617876,2.244788,3.2193639886767538,3.986840220341839,3.5276839688484167,2.419817846417031,3.08558,-0.17021276595744683,245969
17,1.887481451034546,0.9995701,3.2620142,23.267334,2.7551868,2.8088462680651594,3.579528288589193,3.2541151992833885,2.060354756770533,2.51444,-0.17021276595744683,133138
18,1.9210467338562012,0.99957114,3.2846236,17.581474,3.10042,2.901088322466733,3.7919234041735628,3.2664773080207556,1.8501011584044065,3.00578,-0.17021276595744683,158985
19,1.5584862232208252,0.998814,3.325199,23.723896,2.4207978,3.2491485964849303,3.9853780127315543,3.5359189507489823,4.512978144040367,3.51432,-0.17021276595744683,176162
20,1.822972297668457,0.9975521,3.9079792,20.29831,3.3844097,3.1231190077766553,3.914806281461014,3.4550386209996526,2.856704921027755,3.64443,-0.17021276595744683,112825
21,1.5048331022262573,0.9979588,3.3733842,22.916054,3.3349938,3.1468041035108305,3.9515570192275082,3.448272530611842,3.951752821881368,3.05151,-0.17021276595744683,140089
22,1.7365326881408691,0.9995665,3.853896,26.443256,4.9944177,3.235872447995313,4.023516875592297,3.526275077116628,3.3293985563390662,2.63571,-0.17021276595744683,123196
23,1.87361478805542,0.999795,3.7951503,24.648949,4.99449,2.884250605575026,3.8437380923691884,3.2058620784073466,3.446281585164417,3.36668,-0.17021276595744683,189479
24,1.9325758218765259,0.9996915,3.3124003,22.223728,4.994503,2.6769868047435517,3.944053988044036,2.920997452022786,3.442914720961925,3.8419,-0.17021276595744683,88125
25,2.137363910675049,0.9998286,3.7124076,23.554604,3.8790565,3.138261309079762,3.9472170049426003,3.47602352449888,2.7493248154442447,3.52706,-0.17021276595744683,108679
26,1.7638750076293945,0.99972624,3.9155686,23.492058,2.8223019,3.0815036793319592,3.884161457396529,3.396769325345755,3.323132551658761,2.97063,-0.17021276595744683,183668
27,1.938402533531189,0.99988306,3.845172,26.03444,2.7866693,3.331387005735107,4.082029669508585,3.5965918541868973,3.2016004939240146,3.0877,-0.17021276595744683,105625
28,2.066631555557251,0.9994869,3.4149697,21.423079,3.1958778,3.0225575897936143,3.895013073284336,3.3533261679837705,2.322153692834864,3.45597,-0.17021276595744683,96780
29,1.8678103685379028,0.99889284,3.384184,22.214355,4.303213,2.8881444965527536,3.8137771395254516,3.2316038591977225,2.164482295236536,2.48219,-0.17021276595744683,86272
30,1.9935121536254883,0.99963427,3.8066509,26.63821,4.246416,3.057079657923817,3.9026359417113383,3.3753887628168124,2.281086636710678,3.33627,-0.17021276595744683,125925
31,2.2943544387817383,0.99580294,3.6757221,23.570965,2.5960186,2.6790475653047983,3.809611689358129,3.0004822777102156,3.3403901445738384,3.76084,-0.17021276595744683,135708
32,1.8343217372894287,0.9992387,2.68416,23.816479,2.4446266,2.9709334153223224,3.864198401861882,3.3040337105705526,2.5215430602705053,3.83767,-0.17021276595744683,88226
33,1.416961669921875,0.99952567,3.7452335,23.12693,2.478688,2.96414280953783,3.7764304685997967,3.360996558088164,4.155009742356313,2.88022,-0.17021276595744683,330772
