,pesq,nisqa_mos16,nisqa_mos48,visqol,lengths
0,1.8945527076721191,4.5544786,4.489656,4.04351,92349
1,1.9672596454620361,4.7964725,4.6461945,3.75686,135287
2,2.7840545177459717,4.605239,4.640033,3.25644,137367
3,2.574838876724243,4.607122,4.5204034,3.70891,121017
4,1.8837673664093018,4.196514,3.2748287,3.67749,129258
5,2.416386365890503,4.257906,4.5108366,3.91937,106615
6,2.2866268157958984,4.622931,4.536136,3.60144,110756
7,1.9546692371368408,4.524244,4.3696938,3.91776,173767
8,2.217843770980835,4.5876913,4.4908447,3.97275,109200
9,2.043902635574341,4.380394,4.397469,3.42808,147645
10,2.4794886112213135,3.5984085,3.6492386,3.86993,245969
11,2.120431423187256,4.884779,4.7220306,4.25406,176162
12,2.205456018447876,4.6264243,4.679945,4.08198,112825
13,2.394465923309326,4.298731,4.038456,4.22563,88125
14,2.4941225051879883,4.5158806,4.105287,4.19824,183668
15,2.547638177871704,4.127272,4.0021567,3.61486,86272
16,1.7571994066238403,4.4775944,4.592408,3.85911,330772
17,1.6653282642364502,3.8337207,4.1185546,3.62873,144151
18,1.8306152820587158,2.607662,2.646372,3.87159,161514
19,1.6427421569824219,4.4510565,4.45498,3.73593,231296
