,pesq,nisqa_mos16,nisqa_mos48,visqol,lengths
0,2.563784599304199,4.3666573,4.1175194,3.86244,100073
1,3.0417377948760986,4.3154306,4.209155,4.18877,186153
2,2.6209051609039307,4.6953993,4.6291275,3.3199,330818
3,2.362380027770996,4.746686,4.6653714,3.91137,220115
4,2.68383526802063,4.555237,4.528167,3.55865,284129
5,2.721423387527466,4.713682,4.485977,3.83919,251078
6,2.6209592819213867,4.919816,4.6532545,4.01105,188434
7,2.4914181232452393,4.996976,4.693741,4.01188,327909
8,2.3918521404266357,4.2741885,4.0561433,4.09085,196887
9,2.537721872329712,4.3400993,4.1802454,3.94683,147685
10,2.437490463256836,4.7368965,4.6048627,4.29286,302522
11,2.6962547302246094,4.6501856,4.5729227,4.09534,197716
12,2.631141185760498,4.733493,4.666943,4.06031,220824
13,2.1802680492401123,4.479802,4.3841043,4.29958,213632
14,2.3314733505249023,4.814535,4.6771216,4.31802,251842
15,2.471013307571411,4.7934194,4.6902113,3.9682,285446
16,2.307547092437744,4.77907,4.6553574,4.06319,165399
17,2.7471814155578613,4.897972,4.841797,3.8829,260255
18,1.4424161911010742,4.6618786,4.5587864,3.61802,377608
19,2.8479838371276855,4.6517544,4.5461845,4.23489,194011
20,2.3639285564422607,4.967584,4.79341,4.18596,419171
21,2.442042589187622,4.8292713,4.782379,4.12608,310400
22,2.575153350830078,4.62327,4.546876,4.15899,518528
23,2.567568302154541,4.5831957,4.548113,4.18102,349203
24,2.2269790172576904,4.6396685,4.6504736,4.34976,77946
25,2.833608388900757,4.7977734,4.719177,4.19866,162000
26,2.324892044067383,4.6374674,4.6014223,3.70926,86271
27,2.5102474689483643,4.88404,4.695339,4.14991,222908
28,1.492664098739624,4.5225096,4.377756,3.88771,81969
29,2.064671754837036,4.6922626,4.4312572,3.78264,162036
30,2.534400463104248,4.764312,4.680122,3.98706,204704
31,2.5362541675567627,4.5316076,3.8196194,3.99886,106682
32,2.216571569442749,3.7726529,3.673383,3.66936,92293
33,2.642026424407959,4.711011,4.692934,4.03166,174755
34,2.3803725242614746,4.6357307,4.480316,3.48109,171013
35,2.109522581100464,4.5423203,4.516414,4.07478,136747
36,2.696730136871338,4.387332,4.3458858,3.86142,178417
37,1.4396111965179443,4.741605,4.675005,3.73801,159128
38,1.9595518112182617,4.56386,4.465576,4.03457,92416
39,2.2884812355041504,4.7118506,4.6286445,4.19994,213832
40,2.666511058807373,4.8029656,4.72306,4.14003,122929
41,1.983431100845337,4.3764706,4.0912905,3.77465,114737
42,1.6150245666503906,4.6747026,4.550591,4.19565,177163
43,2.301224946975708,4.1243567,3.9126418,3.74558,89320
44,2.461838960647583,4.544591,4.475931,3.68165,114879
45,2.666029214859009,4.349013,4.455587,3.92366,114405
46,3.0509536266326904,4.6954165,4.6238585,3.60697,127220
47,2.2977309226989746,3.429212,3.2157109,3.98028,113309
48,1.9904145002365112,4.5924025,4.566032,4.0133,92349
49,2.696253538131714,3.350403,3.3169844,3.94352,117662
50,2.2541282176971436,4.906454,4.9147854,3.80457,175531
51,2.4975459575653076,4.987211,4.9488935,3.9871,149648
52,2.474400758743286,4.231948,4.1479864,3.69636,206025
53,2.9612770080566406,4.5870957,4.6438837,3.8342,147298
54,2.3400614261627197,4.0771394,4.2086554,3.72642,143382
55,1.912147045135498,4.624511,4.568342,3.92254,90178
56,3.1496596336364746,4.5846114,4.6382403,3.2782,105551
57,2.033499240875244,4.668909,4.6321316,4.08821,106671
58,2.2673511505126953,4.504285,4.598925,4.01755,110777
59,2.102614641189575,4.324843,4.175782,3.98725,102487
60,2.641704797744751,4.7245145,4.29325,3.89224,122638
61,2.1621620655059814,3.9326828,4.3578362,3.91882,143548
62,2.3215696811676025,4.547002,4.520073,4.01735,91375
63,2.723737955093384,4.655252,4.6732526,4.11921,144476
64,2.478450059890747,4.6973515,4.62257,3.83354,90368
65,2.438458204269409,4.316185,4.1200953,3.65247,131456
66,2.494549036026001,4.8156066,4.724303,3.91351,119546
67,2.196181297302246,4.488241,4.4901624,3.63603,126041
68,2.271045207977295,4.671836,4.6906886,4.04504,129156
69,2.4898979663848877,4.0994425,3.9050295,3.90451,92756
70,2.2395708560943604,4.6764603,4.6619015,3.84831,140928
71,1.7390037775039673,4.2641215,3.673432,3.77437,84069
72,2.869371175765991,4.806526,4.7105885,3.63926,129379
73,2.7833478450775146,4.666746,4.5185266,3.93966,100518
74,1.7475781440734863,3.2003493,2.835315,4.09403,102475
75,2.416313648223877,4.795229,4.800484,4.20524,214756
76,2.3322300910949707,4.7342367,4.7021685,3.43107,210760
77,1.50026535987854,4.521168,4.5555243,3.97147,200313
78,2.676462173461914,4.850994,4.856124,3.66142,190629
79,1.3394043445587158,3.9791143,3.918873,3.6883,139262
80,1.8744709491729736,4.8830385,4.7851315,3.61688,135287
81,2.670003890991211,4.5766993,4.3888535,3.77718,94407
82,2.6341030597686768,4.392676,4.0943737,4.07844,100559
83,1.8929364681243896,4.719666,4.5468535,4.30936,131214
84,1.5940929651260376,4.845903,4.7408614,4.17391,188059
85,2.317840814590454,4.695959,4.7084556,3.77103,170038
86,2.410094738006592,4.587034,4.4470463,4.03681,102469
87,1.6022967100143433,4.321243,4.3950586,3.57192,105467
88,2.582338809967041,3.6324341,4.175602,4.03984,133344
89,1.9520957469940186,4.7276497,4.708124,3.89453,96393
90,2.478858232498169,4.7509823,4.720413,4.03313,126047
91,2.835606336593628,4.7205963,4.7258015,3.56224,137367
92,1.6005668640136719,4.079628,3.9874437,4.02183,226573
93,2.8063132762908936,4.2497063,4.2376294,3.82203,127895
94,2.178621530532837,4.614351,4.3193665,4.11286,188694
95,2.386725664138794,4.3634686,4.149584,4.02268,158008
96,1.3516637086868286,4.3431425,3.8707023,3.82992,108606
97,2.7644333839416504,4.779505,4.6253057,3.73762,163890
98,2.6669816970825195,4.524186,4.485868,4.06859,158065
99,2.34440541267395,4.2960186,4.2715063,3.82539,116162
100,2.3514583110809326,4.7212076,4.7262063,4.08588,170943
101,1.8801734447479248,4.6682463,4.3229427,3.82748,131389
102,2.0413801670074463,4.53399,4.3279076,3.95697,110759
103,1.9275356531143188,4.589173,4.612724,3.50317,123100
104,2.0977602005004883,4.5392737,4.551095,3.83311,125604
105,1.7784771919250488,4.5616436,4.566998,3.71326,123009
106,2.905410051345825,4.036149,4.112311,3.98184,132095
107,1.9989702701568604,4.610488,4.595208,3.89374,96384
108,2.165839910507202,4.3210487,4.236453,3.99751,90326
109,2.517033100128174,3.8576229,3.9157748,4.0898,186350
110,1.9138474464416504,4.626741,4.695956,3.80123,118578
111,2.1105430126190186,3.6474073,4.221055,3.87711,141341
112,2.097398519515991,4.1338344,3.3317707,4.123,104674
113,1.9889990091323853,4.762452,4.745084,4.07868,77890
114,2.6526095867156982,3.9875796,4.1095023,4.22353,106412
115,2.469226598739624,4.449626,4.4169874,4.18034,123009
116,2.8297500610351562,4.1274796,4.048638,4.04666,88178
117,2.4239394664764404,4.637539,4.5430703,4.34428,213247
118,2.0605127811431885,4.380183,4.1345816,3.69573,163420
119,1.3984270095825195,4.734894,4.703003,3.72201,110796
120,2.1178786754608154,4.4467173,4.365037,4.12685,98403
121,1.4506299495697021,3.6256425,4.29054,4.07067,88160
122,1.9064648151397705,4.4742365,4.5376873,4.15748,86129
123,3.022090435028076,4.3663507,4.3264036,4.09819,112085
124,1.6324820518493652,4.27857,4.3039694,3.89828,171136
125,2.561633825302124,4.80121,4.74417,3.87592,166580
126,2.7134716510772705,4.6621914,4.646254,3.93181,205234
127,2.855823278427124,2.8297873,3.218705,3.81287,157287
128,2.392836332321167,3.2015808,3.2068336,3.89869,179767
129,2.683258295059204,4.6628766,4.64964,3.91566,215217
130,1.4606956243515015,4.108862,4.3173704,3.72049,127109
131,2.686527729034424,4.6459284,4.6136065,4.20222,204777
132,2.2510344982147217,4.1389804,4.126706,4.02143,121072
133,2.345525026321411,4.0417824,4.466982,4.09266,178247
134,2.1075243949890137,4.6825023,4.5804358,3.52584,110790
135,2.342693328857422,4.9502263,4.917976,3.73674,149561
136,2.001129388809204,4.397726,4.3154497,3.56164,153787
137,2.0506043434143066,4.5712576,4.561337,3.73746,84016
138,2.562612295150757,4.0242643,4.185444,3.82245,114859
139,2.5160913467407227,4.237211,4.118248,4.18404,100055
140,2.7758405208587646,4.730688,4.701734,4.19244,163281
141,2.3948962688446045,4.7979736,4.7248263,4.01975,209152
142,2.198841094970703,4.73336,4.453027,3.92434,131605
143,1.7348430156707764,4.8367033,4.696964,3.77673,127140
144,3.1445140838623047,4.8449454,4.8122873,4.13826,138912
145,2.3762073516845703,4.1625423,4.1855974,3.79881,113850
146,2.2119996547698975,4.259167,4.30542,3.60354,189796
147,2.77364182472229,4.5973353,4.469958,3.7983,203576
148,2.494910955429077,4.2302647,4.5295153,4.0237,90352
149,2.1599209308624268,4.1373444,4.0579777,4.15713,98433
150,2.6082353591918945,4.565488,4.5696955,4.05697,217128
151,2.7134594917297363,4.660304,4.6003838,3.67286,245603
152,2.152414083480835,4.7755423,4.8285565,4.22378,195504
153,2.5460309982299805,4.5364933,4.496646,3.94807,217590
154,2.6203460693359375,4.79303,4.771858,4.10065,194944
155,2.4500210285186768,4.764296,4.3609915,3.93307,138152
156,2.5638656616210938,4.4131103,4.364751,3.71726,178422
157,2.63498592376709,3.5256283,4.0615206,4.11389,218540
158,2.7143287658691406,4.856176,4.7903814,4.05568,131176
159,2.4094042778015137,4.6449647,4.659395,4.01977,168703
160,2.798353672027588,4.237055,4.136607,4.20626,106532
161,2.148364782333374,4.3948345,4.2744803,4.13137,88274
162,2.4097282886505127,4.2834463,4.3748164,3.62576,172470
163,2.2303693294525146,4.79326,4.6906204,3.61924,184552
164,2.6035780906677246,4.4716997,4.4947853,3.91486,140728
165,1.5208477973937988,3.8699656,3.6960232,3.90842,148389
166,2.4773082733154297,4.4336133,4.5590954,3.97073,120163
167,2.746011972427368,4.4678345,4.539194,3.89376,152889
168,2.7494924068450928,4.6311674,4.5637174,3.6486,170198
169,2.671053409576416,4.3095617,4.2799206,4.11076,90540
170,2.754239559173584,4.643405,4.484913,3.98561,165363
171,2.8219103813171387,4.7586412,4.729845,3.94022,157888
172,2.6737799644470215,4.7181807,4.731291,3.97417,191997
173,1.8469599485397339,3.7998433,4.130255,3.84521,96335
174,1.2756587266921997,4.805264,4.8181353,3.98724,102481
175,2.1215741634368896,4.6941605,4.662236,3.93339,229582
176,2.344057321548462,4.483369,4.400104,3.55227,212052
177,1.775014877319336,4.7653522,4.7605457,3.94782,110682
178,2.04943585395813,4.6617475,4.5377755,3.59135,116921
179,1.789299726486206,4.244941,3.8338268,4.20704,105779
180,2.201763391494751,4.689457,4.673562,4.09526,199210
181,2.8826003074645996,4.774925,4.5654154,4.11786,121017
182,2.7621426582336426,4.615512,4.6129255,4.09608,135911
183,2.6559154987335205,4.4455805,4.438073,4.01932,109765
184,2.264235019683838,4.136638,4.005725,3.67802,148563
185,2.131767511367798,4.2221203,4.2181163,3.56293,127231
186,2.3865511417388916,4.0820227,4.2629967,3.76602,112859
187,2.361262321472168,4.355462,4.2356477,3.84058,100579
188,2.939279079437256,4.6088967,4.62133,3.55869,100597
189,2.133434772491455,4.7694807,4.6337337,3.54642,179937
190,1.9839595556259155,4.424861,4.400959,3.94834,102587
191,2.2332656383514404,3.5506885,3.0303276,3.74068,81976
192,2.311521291732788,4.503566,4.252,4.0086,196856
