,pesq,nisqa_mos16,nisqa_mos48,visqol,f0_rmse,voiced_acc,lengths
0,1.5111868381500244,4.566329,3.9436111,3.47304,2.365284105194965,0.8157894760370255,91255
1,1.7481234073638916,2.212115,2.2309072,3.81981,1.4452115293110739,0.8661087900400162,114981
2,1.5688741207122803,4.4525642,4.537961,3.42814,3.5193365857507173,0.8440860211849213,89430
3,1.7044601440429688,3.9199975,4.1148567,4.23284,5.856262764751415,0.8577586263418198,111331
4,2.1546847820281982,2.57112,2.4802763,3.94153,2.822942589840489,0.701298713684082,110419
5,1.8175296783447266,4.1186066,3.3569245,3.14524,3.537048262301075,0.8333333283662796,141445
6,1.7638180255889893,1.8491057,1.8727804,3.49677,2.837173243503929,0.7955555617809296,107681
7,1.7273986339569092,2.742046,2.8987525,3.3212,2.400659836991914,0.7946428507566452,107225
8,1.6172690391540527,3.5197046,3.3560197,3.68879,1.7211946970103256,0.8067632913589478,99924
9,1.8410375118255615,2.698374,2.8155944,3.09974,2.3141468684116995,0.8884297534823418,115893
10,1.9757390022277832,2.5460932,2.5914893,3.71221,2.5735656403430416,0.8326996266841888,126006
11,1.6659841537475586,3.3928363,3.4017344,3.99206,5.052522452521811,0.9346153810620308,125099
12,1.644963026046753,3.664129,3.9049518,3.35886,2.463754801842935,0.8814229220151901,121473
13,1.9209129810333252,3.246313,2.9540641,3.88512,2.8181979645335478,0.9404761902987957,80304
14,1.5062692165374756,3.2439754,3.4111812,3.23449,2.7126295063604906,0.9499999992549419,125100
15,1.8070473670959473,2.8542464,2.2293384,3.44167,3.045693956529087,0.84765625,123286
16,1.670098066329956,2.880336,2.3928263,3.76363,3.06132500144472,0.942965779453516,126912
17,1.781721591949463,2.9445093,3.3006296,3.65298,2.363152194319853,0.869918704032898,117847
18,1.5308423042297363,2.8240526,2.7118337,3.24093,1.6154246462506592,0.894308939576149,117847
19,1.5850845575332642,2.405803,2.593486,3.70944,1.8927541431411243,0.82231405377388,116033
20,1.7425562143325806,3.0308607,2.490144,3.25274,4.276350474807894,0.8250950574874878,126006
21,1.625936508178711,2.4130585,2.1151745,2.69879,1.6191881634804295,0.8714859485626221,119659
22,1.8244377374649048,3.0446594,2.4408674,2.61131,3.951293732102028,0.9173553735017776,116487
23,2.130629062652588,3.154559,3.0112975,2.88496,3.8325204615669555,0.8944099396467209,155467
24,1.6175520420074463,3.4061735,2.775629,3.30756,3.043247516781856,0.7729468643665314,100170
25,1.5602390766143799,3.402073,2.7374141,3.71787,2.0400349929455746,0.8400000035762787,107876
26,2.1561567783355713,3.0266016,3.0840123,3.43014,2.2530579095635703,0.8766519799828529,108781
27,1.5950742959976196,4.1266193,3.1621163,4.11647,2.4624578544569617,0.8984375,123286
28,1.743683934211731,3.1178572,2.785167,3.58758,1.5416443589204465,0.8823529407382011,106311
29,1.6181187629699707,3.588197,3.0892026,3.41455,2.802232743697335,0.7756654024124146,126006
30,1.4530879259109497,3.4996257,3.3189015,3.16715,3.2078291520791207,0.9477911628782749,119659
31,1.3339954614639282,2.1030111,2.030037,3.08601,3.179522896035461,0.9357798174023628,105156
32,1.6124167442321777,2.230707,2.2537746,3.64844,4.945502583473854,0.845849797129631,121473
33,1.6167638301849365,3.418382,3.008599,3.45648,2.3583724977067178,0.850877195596695,109689
34,1.7295671701431274,2.4086642,2.5489,3.84918,5.6017316848811545,0.8338108956813812,167252
35,2.000983953475952,1.9013555,1.9508495,3.30796,3.3718308146043348,0.7983870953321457,118753
36,1.3428609371185303,3.0113444,3.1437523,3.79076,2.051955259648187,0.7766323089599609,139603
37,1.6948723793029785,3.1632617,3.113289,3.84224,2.7270686680974623,0.8851063847541809,112408
38,1.6534873247146606,2.0870318,2.7301466,3.70799,7.0023585911888295,0.6606334745883942,106062
39,1.3934566974639893,1.5651907,1.7063514,3.8059,5.8766144179896775,0.6283783912658691,70709
40,1.6182057857513428,2.7964213,2.774317,3.54392,3.835001623362485,0.8208092451095581,82946
41,1.7843575477600098,4.1418157,4.172635,3.83926,5.006163001632864,0.6649999916553497,95637
42,1.9401121139526367,4.3566475,4.17047,3.92552,6.2432723817643625,0.5962441265583038,101982
43,1.305239200592041,2.2244322,2.2476947,3.37101,2.100616493234272,0.7923497259616852,88517
44,1.709181785583496,3.0752864,2.336418,3.59355,2.357856954040243,0.8307692259550095,125100
45,1.5069878101348877,2.7688117,2.3423874,3.63822,1.9818727235244886,0.9132231399416924,115893
46,1.5698902606964111,3.1354015,2.7773528,3.12984,1.2673979534837998,0.9439655169844627,111048
47,1.7297335863113403,3.3795397,3.4413195,3.76197,3.4323244381785956,0.8157894760370255,109050
48,1.6954984664916992,2.6723187,3.243925,3.93163,4.416924583422728,0.7530864179134369,78479
49,1.8800034523010254,3.3613496,2.8500695,3.96857,1.766126222431749,0.8626373559236526,87025
