,pesq,nisqa_mos16,nisqa_mos48,visqol,lengths
0,2.6127798557281494,4.4461,4.3249607,3.78266,100073
1,2.5011649131774902,3.6206956,3.7608755,3.87174,186153
2,2.4299888610839844,4.730392,4.607856,3.45623,330818
3,2.1817891597747803,4.8789463,4.8381896,3.80108,220115
4,2.736940860748291,4.243042,3.7513666,3.58108,284129
5,2.780810832977295,4.930947,4.7934093,3.4884,251078
6,2.4903063774108887,4.891851,4.6657457,4.00255,188434
7,2.451779365539551,4.8340225,4.454467,3.96383,327909
8,2.3780951499938965,4.469952,4.1166954,4.07203,196887
9,2.0107107162475586,4.453073,4.4740906,3.49362,147685
10,2.338629722595215,4.760184,4.7067876,4.05938,302522
11,2.4399685859680176,4.6263404,4.6106834,4.19325,197716
12,2.4927587509155273,4.61944,4.3966646,3.83323,220824
13,2.4329724311828613,4.605837,4.22856,4.17044,213632
14,2.5971808433532715,4.776079,4.6399016,4.20385,251842
15,2.311265468597412,4.670968,4.465206,3.7133,285446
16,2.231245756149292,4.7050457,4.472788,3.71504,165399
17,2.5442042350769043,4.890772,4.884212,3.82792,260255
18,1.750056505203247,4.620965,4.5251274,3.7576,377608
19,2.5698962211608887,4.530882,4.31052,3.91502,194011
20,2.422039747238159,4.927335,4.634303,3.85876,419171
21,2.2335588932037354,4.788103,4.7535934,4.07723,310400
22,2.497650384902954,4.4994907,4.3087955,4.1266,518528
23,2.7000062465667725,4.689557,4.583703,4.10703,349203
24,1.9576046466827393,4.4830856,4.2678947,4.18856,77946
25,2.6159229278564453,4.779025,4.7005363,3.88369,162000
26,1.6157329082489014,4.6112604,4.4757423,3.36181,86271
27,2.3145484924316406,4.961414,4.808937,4.15318,222908
28,2.515977144241333,3.6511786,3.5439744,3.90676,81969
29,1.4864327907562256,4.7337456,4.4100018,3.5109,162036
30,2.459772825241089,4.778416,4.742969,3.75056,204704
31,2.1194052696228027,4.5941496,4.327617,3.89397,106682
32,2.310112476348877,4.0259037,3.837474,3.7944,92293
33,2.464357614517212,4.3392787,4.4370117,3.69372,174755
34,2.1057016849517822,4.5418406,4.1193166,3.20284,171013
35,2.5604019165039062,4.78476,4.713521,3.91085,136747
36,2.7049548625946045,4.196523,4.1288614,3.59157,178417
37,2.204779624938965,4.5986786,4.5879364,3.3852,159128
38,1.9936580657958984,4.583131,4.485441,3.94004,92416
39,2.1713311672210693,4.56645,4.658174,3.67646,213832
40,2.3615517616271973,4.7193108,4.180098,4.03705,122929
41,1.8249714374542236,2.745218,3.0787709,3.68338,114737
42,1.6255545616149902,4.6891646,4.569829,4.06339,177163
43,2.1466262340545654,3.7491555,3.6072698,3.06495,89320
44,2.7414422035217285,4.3938885,4.4248533,3.68382,114879
45,2.6840415000915527,4.306172,4.00081,3.94908,114405
46,1.860863208770752,4.653839,4.593899,3.70467,127220
47,2.338482618331909,4.7384634,4.7312775,3.99322,113309
48,1.965995192527771,4.133752,3.7273045,3.88775,92349
49,2.700679302215576,4.441378,4.3112583,3.92617,117662
50,2.520372152328491,4.799073,4.7314014,3.62385,175531
51,2.656571626663208,4.6959305,4.537886,4.10746,149648
