,pesq,stoi_est,pesq_est,sisdr_est,mos,ovr,sig,bak,mcd,visqol,wacc,lengths
5,2.486325979232788,0.99970645,3.8769422,20.956165,3.1727529,2.936607472716473,3.891748915358326,3.2951161650888303,1.3007613396662612,4.17842,-0.17375886524822692,90540
6,2.6552491188049316,0.99967384,3.8897793,21.397243,4.994485,3.0154696445133804,3.7710196458199166,3.416505921676547,1.3218300770106757,3.91658,-0.17375886524822692,121017
7,2.518712282180786,0.9650622,2.3127093,15.317582,4.9854207,2.969222395515666,3.626030111570148,3.40008776311961,1.5804587649357642,4.02077,-0.17375886524822692,129258
8,1.7640953063964844,0.99917114,3.0466356,22.298885,4.491131,2.827538108887939,3.704040750638028,3.2064723203546084,1.717972896076387,4.20099,-0.17375886524822692,118927
9,2.567964792251587,0.99636745,3.1796892,20.677307,4.994489,3.0361325045546583,3.8912809747813006,3.3883494094978266,1.7682318052378445,4.09675,-0.17375886524822692,106615
10,2.3433234691619873,0.9968207,3.0963936,21.658834,4.9945517,3.1024438527001617,3.841241956823692,3.473422146166098,1.5363870277794975,4.01757,-0.17375886524822692,213909
11,2.6158275604248047,0.9993229,3.399038,20.51471,4.994449,3.2691812416993202,4.0295260145168115,3.558059820548257,1.9070115588719958,3.60714,-0.17375886524822692,110756
12,2.2611234188079834,0.9988961,3.2071967,21.383635,4.9945,2.8825079998685736,3.326103494402384,3.519975542055407,2.3526721261309382,4.15334,-0.17375886524822692,173767
13,2.4280035495758057,0.9988325,3.3739808,20.859646,4.9944735,2.8767596160619284,3.560142701603996,3.4082400587507165,1.5447752451151606,4.14009,-0.17375886524822692,109200
14,2.368927478790283,0.9987218,2.836195,20.243782,2.626058,2.845132380882492,3.793628464384142,3.2023443651359154,0.7259261035108021,4.09303,-0.17375886524822692,130893
15,1.9557290077209473,0.9992199,2.9988315,22.474712,4.9945064,2.7534187880063157,3.389533029091705,3.290199293213346,2.1506377002547383,4.00911,-0.17375886524822692,147645
16,2.368515729904175,0.9992754,3.3946757,21.469559,4.991962,3.353888327074312,4.04633650922867,3.6561071157495495,1.8099278585488356,4.21347,-0.17375886524822692,245969
17,2.058443546295166,0.9983157,2.8986187,22.199596,4.8723454,3.3164103587280587,4.04218105629111,3.620131702831558,1.7889400810301155,4.18478,-0.17375886524822692,133138
18,2.458425998687744,0.9994343,3.0603333,17.0892,4.992681,3.044816379824818,3.76339219576589,3.449908555111253,1.465086933576034,4.00829,-0.17375886524822692,158985
19,2.2056615352630615,0.99977356,3.9896202,25.784666,4.994534,3.2144372826442207,3.9168631387396657,3.5425616983830053,3.7099819402942997,4.31938,-0.17375886524822692,176162
20,2.5890791416168213,0.999718,4.076104,24.729992,3.5826278,3.248626040030226,3.992414515949795,3.571500277561284,2.4830862039541226,4.26915,-0.17375886524822692,112825
21,2.1989474296569824,0.9991036,3.8191946,26.25357,4.9944983,3.2655135034293408,4.042635145050724,3.534933525675904,2.8238854886732065,3.69111,-0.17375886524822692,140089
22,2.4729058742523193,0.9948414,4.0414577,24.214294,4.994505,3.189289513969795,4.0117049051064155,3.469755138100105,2.8818453379064106,3.48661,-0.17375886524822692,123196
23,2.4772162437438965,0.99937516,3.9408858,24.285957,4.994534,3.392577344628375,4.129428351815688,3.63631117156662,2.6659158570328576,4.17874,-0.17375886524822692,189479
24,2.705634117126465,0.9997396,4.258421,24.06295,4.99436,2.8856112804191842,4.043337516825356,3.1086750987307985,2.795975443676514,4.38608,-0.17375886524822692,88125
25,2.518794536590576,0.99505013,3.3860865,21.881886,4.9941607,3.3785775163372005,4.145984091157976,3.616622923594587,2.1702536293428,4.34009,-0.17375886524822692,108679
26,2.9338908195495605,0.9996941,4.0638037,26.941385,4.994522,3.3946460858076932,4.132020110028422,3.628423732394119,2.3291829586335844,4.05845,-0.17375886524822692,183668
27,2.6548867225646973,0.99984586,3.860594,26.732359,4.994508,3.3675544228936762,4.121237256405476,3.6263608176247653,2.5092786354659187,4.01793,-0.17375886524822692,105625
28,2.6184115409851074,0.999003,3.4952204,20.30671,4.097559,2.9298771186909853,3.839630590847602,3.309055886542957,1.5146270917202118,4.47151,-0.17375886524822692,96780
29,2.8325066566467285,0.99985373,3.11634,24.621109,4.449707,2.8865218579734515,3.772758073854733,3.2765065626857455,1.5526785970315704,3.55022,-0.17375886524822692,86272
30,2.586717128753662,0.9989191,3.9435332,27.320824,4.210414,3.2247862087031987,3.9471216344381075,3.5607236534602906,1.8209226674423369,4.0911,-0.17375886524822692,125925
31,2.766357660293579,0.9997193,4.112927,26.691046,4.9945393,3.017346651864707,3.9664672390173745,3.324036844679974,2.8328573927266585,4.43146,-0.17375886524822692,135708
32,2.2694714069366455,0.9965268,3.8006163,25.227585,4.9940214,3.143589983389332,3.8491430117002423,3.5306858225339597,2.2823910562095238,3.92143,-0.17375886524822692,88226
33,1.7533490657806396,0.9989209,3.7155702,22.588669,4.994546,2.9430364006966765,3.3252547246188477,3.6058562957747737,3.8379287143654097,3.98185,-0.17375886524822692,330772
34,1.7956658601760864,0.9955472,3.3695383,16.351181,2.4091191,1.0969590444572497,1.179619311370231,1.2424759416417617,1.2373100557621162,3.87206,-0.17375886524822692,144151
35,1.1351438760757446,0.9997009,3.3423784,21.294373,4.239816,2.1845864292277306,2.675973708815247,2.8338195188290225,2.0200927331920404,4.25012,-0.17375886524822692,111992
36,1.9426801204681396,0.99804246,3.0867782,20.809135,2.3774588,2.8895014838545263,3.786235353076396,3.2434315926322372,2.3348822768460935,4.08197,-0.17375886524822692,161514
37,1.658299446105957,0.99969435,4.008439,23.612476,4.9382725,2.944598042059932,3.5141711314580975,3.432470355310831,3.1178001868638376,4.02877,-0.17375886524822692,231296
38,1.8268184661865234,0.9981504,3.669897,23.50111,4.243227,2.892596428872815,3.7078946028091324,3.334987335103809,2.639380006659561,3.89198,-0.17375886524822692,152839
39,1.1939877271652222,0.9997634,3.0990949,21.476036,4.79146,3.052067200287804,3.7893163126223124,3.4723690480152265,1.847301810623281,3.89486,-0.17375886524822692,178750
